id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1212161456935976961,1212161456935976961,2020-01-01 02:59:46 Turkey Standard Time,2020-01-01,02:59:46,+0300,1105237963426816000,getthecrypto1,GetTheCrypto,,#altcoins Blockchain Buy It. Everything Else Is A Bubble  #BTC- 3CcByFGMFtDCVCTJ1pPHCQPtYSF4pcRwmX,en,[],[],[],0,0,1,"['altcoins', 'btc']",[],https://twitter.com/GetTheCrypto1/status/1212161456935976961,False,,0,,,,,,,,[],,,,
1212161417786413056,1212060219007815680,2020-01-01 02:59:37 Turkey Standard Time,2020-01-01,02:59:37,+0300,110588656,cj_fernandezr,Carlos J. Fernández-R 🦉,,"@PetroDivisa Ya que estamos cerrando una década no está demás agregar algo extra a tu comentario. Mmmnn... Bloomberg califica al #BTC como el activo de mejor desempeño de los últimos 10 años; con un aumento de 9.000.000% 🚀 , mientras q el precio del oro aumentó durante este tiempo un 25% 📊  https://t.co/b7Z2fw5oVi",es,[],[],['https://pbs.twimg.com/media/ENJ2YHvW4AQsyir.png'],0,0,0,['btc'],[],https://twitter.com/cj_fernandezr/status/1212161417786413056,False,,1,https://pbs.twimg.com/media/ENJ2YHvW4AQsyir.png,,,,,,,"[{'screen_name': 'PetroDivisa', 'name': 'Petro Divisa❁', 'id': '1315481666'}]",,,,
1212161330528079872,1212161330528079872,2020-01-01 02:59:16 Turkey Standard Time,2020-01-01,02:59:16,+0300,1197926712685801475,patjone26545272,Pat Jones,,"An early New Year's Eve dinner of a salmon main entre, guacamole/chips, and a cold horchata at a Guatemalan restaurant....... I really know how to live it up.....😎👍   https://t.co/froX3bRRan   #crypto #cryptocurrency #bitcoin #btc #philanthropy #philanthropist  https://t.co/GCEe4EVnxM",en,[],['http://www.BitcoinPat.com'],['https://pbs.twimg.com/media/ENJ2DEMWwAIiGwr.jpg'],0,0,1,"['crypto', 'cryptocurrency', 'bitcoin', 'btc', 'philanthropy', 'philanthropist']",[],https://twitter.com/PatJone26545272/status/1212161330528079872,False,,1,https://pbs.twimg.com/media/ENJ2DEMWwAIiGwr.jpg,,,,,,,[],,,,
1212161315805859841,1212161315805859841,2020-01-01 02:59:13 Turkey Standard Time,2020-01-01,02:59:13,+0300,991441775846940672,smileyface218,Adam,,"With blockchain tech advancing everyday I feel like #BTC will end up becoming a old #crypto collectible u hold. Like old playing cards. People will probably be using faster, cheaper, scalable &amp; more advanced tech by the time real global adoption occurs.",en,[],[],[],0,0,1,"['btc', 'crypto']",[],https://twitter.com/smileyface218/status/1212161315805859841,False,,0,,,,,,,,[],,,,
1212161271233007617,1212161271233007617,2020-01-01 02:59:02 Turkey Standard Time,2020-01-01,02:59:02,+0300,1177988321168871424,bitoco_in,Crypto is the future,,$BTC Going up signal on a 15 minute chart! Price: \780931 (2020/01/01 08:56) #仮想通貨 #暗号資産 #ビットコイン #Bitcoin #BTC #cryptocurrency,en,[],[],[],0,0,0,"['仮想通貨', '暗号資産', 'ビットコイン', 'bitcoin', 'btc', 'cryptocurrency']",['btc'],https://twitter.com/bitoco_in/status/1212161271233007617,False,,0,,,,,,,,[],,,,
1212161269949751296,1212161269949751296,2020-01-01 02:59:02 Turkey Standard Time,2020-01-01,02:59:02,+0300,1082323663238713345,reqbitcoinjs,Bitcoin.js //Bitcoin price every half hour,,"Dec 31, 2019 23:58:00 UTC   $7,180 USD  €6,399 EUR  £5,414 GBP  #Bitcoin #BTC 🥴",pl,[],[],[],0,0,0,"['bitcoin', 'btc']",[],https://twitter.com/reqBitcoinJS/status/1212161269949751296,False,,0,,,,,,,,[],,,,
1212160816813936642,1212160816813936642,2020-01-01 02:57:14 Turkey Standard Time,2020-01-01,02:57:14,+0300,1001857436905623553,qwyntessence,Qwyn,,"Best cryptocurrency project, company and community out there? I would say so. On to a great 2020 for all. Happy New Year!   #Vechain #cryptocurrency #BTC #ETH",en,[],[],[],0,0,1,"['vechain', 'cryptocurrency', 'btc', 'eth']",[],https://twitter.com/Qwyntessence/status/1212160816813936642,False,https://twitter.com/vechainofficial/status/1211986649669718017,0,,,,,,,,[],,,,
1212160775961354240,1212160775961354240,2020-01-01 02:57:04 Turkey Standard Time,2020-01-01,02:57:04,+0300,2787862885,coinpricenow,Bitcoin Price,,"1 Bitcoin ( #BTC ) Dollar: 7170.20$   1 Bitcoin Cash ( #BCH ) Dollar: 2,03.93$   1 Ethereum ( #ETH ) Dollar: 128.50$   1 Ripple ( #XRP ) Dollar: 0.19253$   Date: 31 Dec 2019 23:57  #Bitcoin #Ethereum #cryptocurrency #crypto #altcoin #Blockchain #Ripple",en,[],[],[],0,0,0,"['btc', 'bch', 'eth', 'xrp', 'bitcoin', 'ethereum', 'cryptocurrency', 'crypto', 'altcoin', 'blockchain', 'ripple']",[],https://twitter.com/coinpricenow/status/1212160775961354240,False,,0,,,,,,,,[],,,,
1212160678330540032,1212160678330540032,2020-01-01 02:56:41 Turkey Standard Time,2020-01-01,02:56:41,+0300,1062986134844858368,mrflowcrypto,Flow Alliance NFT,,"Ever since I first found out about Bitcoin, I had a feeling that this was the thing I was looking for all along.  Do you think you will own bitcoin for the next 15-20 years? Imagine how big this thing could turn up to be.  And yea, happy new year everyone! 🍻  #bitcoin #btc",en,[],[],[],0,0,0,"['bitcoin', 'btc']",[],https://twitter.com/mrflowcrypto/status/1212160678330540032,False,,0,,,,,,,,[],,,,
1212160642783703040,1212160642783703040,2020-01-01 02:56:32 Turkey Standard Time,2020-01-01,02:56:32,+0300,980786640187572226,bitman49678402,BITMAN,,パソコンがあれば無料でビットコインが手に入る！  https://t.co/jHt7HPYc4F #BTC　#仮想通貨　#マイニング　#ビットコイン,ja,[],['http://stock2000.html.xdomain.jp/'],[],0,0,0,"['btc', '仮想通貨', 'マイニング', 'ビットコイン']",[],https://twitter.com/BITMAN49678402/status/1212160642783703040,False,,0,,,,,,,,[],,,,
1212159873049190400,1212159873049190400,2020-01-01 02:53:29 Turkey Standard Time,2020-01-01,02:53:29,+0300,942399119410176001,btc1000eth100,《 sho 》 ◉BTC-FX Trader,,今日、気がついたサイトのシグナルよさそう☺️  Bitcoin Sell  リップルBuy  いい感じに当ててる。  次から注目しとこ〜！！  $XRP #XRP $BTC #BTC #ビットコインFX  https://t.co/OVsvYHmDXx,ja,[],[],['https://pbs.twimg.com/media/ENJ0-mSVUAERMnW.jpg'],3,1,14,"['xrp', 'btc', 'ビットコインfx']","['xrp', 'btc']",https://twitter.com/btc1000eth100/status/1212159873049190400,False,,1,https://pbs.twimg.com/media/ENJ0-mSVUAERMnW.jpg,,,,,,,[],,,,
1212159785925300230,1212159785925300230,2020-01-01 02:53:08 Turkey Standard Time,2020-01-01,02:53:08,+0300,703391132835663872,retiredin2016,Never Work Again @ Age 43,,"As of December 30, 2019 at 05:53PM, 1 XRP = 0.1913 USD. 😄  https://t.co/ksCOqyBwFU 😋 #Investing #fire #ira #401k #money #stock #retirement #trade #NeverWorkAgain #CapitalGain #Savings #PersonalFinance #crypto #ethereum #eth #bitcoin #btc #xrp #ripple",en,[],['https://goo.gl/E2Ee6A'],[],0,0,0,"['investing', 'fire', 'ira', '401k', 'money', 'stock', 'retirement', 'trade', 'neverworkagain', 'capitalgain', 'savings', 'personalfinance', 'crypto', 'ethereum', 'eth', 'bitcoin', 'btc', 'xrp', 'ripple']",[],https://twitter.com/retiredin2016/status/1212159785925300230,False,,0,,,,,,,,[],,,,
1212159663229296642,1212159663229296642,2020-01-01 02:52:39 Turkey Standard Time,2020-01-01,02:52:39,+0300,1141674784784297984,yann_7,Yann,,Celebrating 2020 as it should be. By #stacking #btc  https://t.co/84KhARi4IM,en,[],[],['https://pbs.twimg.com/media/ENJ0yNrWwAMLhRB.jpg'],0,0,0,"['stacking', 'btc']",[],https://twitter.com/yann_7/status/1212159663229296642,False,,1,https://pbs.twimg.com/media/ENJ0yNrWwAMLhRB.jpg,,,,,,,[],,,,
1212159635722948608,1212159635722948608,2020-01-01 02:52:32 Turkey Standard Time,2020-01-01,02:52:32,+0300,1128530731506982912,bitcointaxcpa,"Erik Weinapple, CPA 🔑",,That awkward time between Christmas and New Years where you don’t know what day it is or what your purpose in life is so you go buy some bitcoin. (Note to my wife: I didn’t actually go buy more bitcoin)   #bitcoin #cryptocurrency #Ethereum #BTC #ETH,en,[],[],[],1,0,0,"['bitcoin', 'cryptocurrency', 'ethereum', 'btc', 'eth']",[],https://twitter.com/BitcoinTaxCPA/status/1212159635722948608,False,,0,,,,,,,,[],,,,
1212159529993023489,1212159529993023489,2020-01-01 02:52:07 Turkey Standard Time,2020-01-01,02:52:07,+0300,995825037902012416,bitcoin_meter,Bitcoin Meter (Demo),,Current #Bitcoin price status is:   🔸STRONG RESISTANT🔸  Next #BTC price status prediction is in 5 min. PM us to join our telegram channel for more accurate and every 5 sec price trend predictions.  Prediction No. 3394,en,[],[],[],0,0,0,"['bitcoin', 'btc']",[],https://twitter.com/Bitcoin_Meter/status/1212159529993023489,False,,0,,,,,,,,[],,,,
1212159483801038848,1212159483801038848,2020-01-01 02:51:56 Turkey Standard Time,2020-01-01,02:51:56,+0300,721295326418591746,takutakuluck,とことん成長しよう！年度末米国株1500万目標。,,ブログ更新しました。 #初日の出 #謹賀新年 #新年早々 #お年玉 #爆笑ヒットパレード #BTC #XRP  https://t.co/58ibGkwRaB,ja,[],['https://www.bff-vlog.com/2020/01/4000.html'],[],0,1,0,"['初日の出', '謹賀新年', '新年早々', 'お年玉', '爆笑ヒットパレード', 'btc', 'xrp']",[],https://twitter.com/takutakuluck/status/1212159483801038848,False,,0,,,,,,,,[],,,,
1212159313936027649,1212159313936027649,2020-01-01 02:51:15 Turkey Standard Time,2020-01-01,02:51:15,+0300,1000111792444657665,wikirandoms,WikiRandoms,,🔄 Prices update in $USDT (1 hour):  $BTC - 7191.58 $      (-0.15 %) $ETH - 129.0 $        (+0.12 %) $XRP - 0.19 $         (+1.0 %) $BCH - 203.87 $       (0.0 %) $LTC - 41.34 $        (-0.43 %)  #BTC #ETH #XRP #BCH #LTC #Trading #Crypto #Bitcoin,en,[],[],[],0,0,1,"['btc', 'eth', 'xrp', 'bch', 'ltc', 'trading', 'crypto', 'bitcoin']","['usdt', 'btc', 'eth', 'xrp', 'bch', 'ltc']",https://twitter.com/WikiRandoms/status/1212159313936027649,False,,0,,,,,,,,[],,,,
1212159238069309440,1204645286863200256,2020-01-01 02:50:57 Turkey Standard Time,2020-01-01,02:50:57,+0300,1152815344576155648,congly50775430,C.L inGOD,,"@HuobiWallet ""Manage your #BTC, #ETH #XRP #TRX #XRP #DOGE with Huobi Wallet App""DLgehQNjw66Qapso4swRDUoAksa7kiaY7r",et,[],[],[],1,0,1,"['btc', 'eth', 'xrp', 'trx', 'xrp', 'doge']",[],https://twitter.com/congly50775430/status/1212159238069309440,False,,0,,,,,,,,"[{'screen_name': 'HuobiWallet', 'name': 'HuobiWallet', 'id': '999509989239615489'}]",,,,
1212159023312703491,1212159023312703491,2020-01-01 02:50:06 Turkey Standard Time,2020-01-01,02:50:06,+0300,991323624127676416,weeklybtcjp,週刊ビットコイン公式,,"おはようございます。 今日January 1, 2020 at 08:50AMの 1 BTCは778717.1875 JPYです！ #週刊ビットコイン #BTC #仮想通貨",ja,[],[],[],0,0,0,"['週刊ビットコイン', 'btc', '仮想通貨']",[],https://twitter.com/weeklybtcJP/status/1212159023312703491,False,,0,,,,,,,,[],,,,
1212159022008328195,1212159022008328195,2020-01-01 02:50:06 Turkey Standard Time,2020-01-01,02:50:06,+0300,980956059442536448,esgtcrypto,AnuNaki,,"Celebrating as a part of @teamchromia is one of the best feeling ever, i didn't miss the $CHR growth in 2019, and I surely won't miss it's boom in 2020! #Chromia #CHr #Altcoins #Btc #Eth #Invest #Crypyto #Money #Dapps  https://t.co/wG27agBswc",en,"[{'screen_name': 'teamchromia', 'name': 'teamchromia', 'id': '1216718790999924736'}]",[],['https://pbs.twimg.com/media/ENJ0MqgWsAUMtej.jpg'],0,3,4,"['chromia', 'chr', 'altcoins', 'btc', 'eth', 'invest', 'crypyto', 'money', 'dapps']",['chr'],https://twitter.com/ESGTcrypto/status/1212159022008328195,False,,1,https://pbs.twimg.com/media/ENJ0MqgWsAUMtej.jpg,,,,,,,[],,,,
1212158936394215424,1212158936394215424,2020-01-01 02:49:45 Turkey Standard Time,2020-01-01,02:49:45,+0300,940686390316163075,bitracetoken,Bitrace Investment,,Happy New Years. 2020 year of SUCESS  #TUNISIA_RACING_F1_CITY #BITRACE  WEBSITE :  https://t.co/es2F0Npolh E-MAIL : Info@bitracetoken.com TEL : +44 20 3290 8434  #bitrace #bitcoin #cryptocurrency #blockchain #crypto #ico #trading #ethereum #currency #eth #btc #cryptonews #tokens  https://t.co/HpLYbClXHD,en,[],['http://bitrace-token.com'],['https://pbs.twimg.com/media/ENJ0Hs5XUAAp3db.jpg'],0,1,3,"['tunisia_racing_f1_city', 'bitrace', 'bitrace', 'bitcoin', 'cryptocurrency', 'blockchain', 'crypto', 'ico', 'trading', 'ethereum', 'currency', 'eth', 'btc', 'cryptonews', 'tokens']",[],https://twitter.com/BitraceToken/status/1212158936394215424,False,,1,https://pbs.twimg.com/media/ENJ0Hs5XUAAp3db.jpg,,,,,,,[],,,,
1212158608777121792,1212158608777121792,2020-01-01 02:48:27 Turkey Standard Time,2020-01-01,02:48:27,+0300,1052519189989269504,webnowcompany,webnow🌎,,"#BTC #ETH Bulls have returned to XRP/USD, as the price runs towards its fourth consecutive session in the green. There are encouraging near-term signs of the price s...Read more:  https://t.co/anh1c1E8TJ",en,[],['https://webnow.company/news/technical-analysis-and-market-entry-xrpusds-promising-reversal-signs-appear'],[],0,0,0,"['btc', 'eth']",[],https://twitter.com/webnowcompany/status/1212158608777121792,False,,0,,,,,,,,[],,,,
1212158608642842624,1212158608642842624,2020-01-01 02:48:27 Turkey Standard Time,2020-01-01,02:48:27,+0300,1052519189989269504,webnowcompany,webnow🌎,,"#ETH #BTC As more businesses are launching on blockchain, Ian Balina, an influential blockchain and ICO investor, has predicted that Ethereum will surpass Bitcoin in...Read more:  https://t.co/cuMugLGLAH",en,[],['https://webnow.company/news/ethereum-will-surpass-bitcoin-in-terms-of-market-cap-in-2020s-influential-ico-expert-ian-balina'],[],0,0,1,"['eth', 'btc']",[],https://twitter.com/webnowcompany/status/1212158608642842624,False,,0,,,,,,,,[],,,,
1212158608638664711,1212158608638664711,2020-01-01 02:48:27 Turkey Standard Time,2020-01-01,02:48:27,+0300,1052519189989269504,webnowcompany,webnow🌎,,"#BNB #BTC #ETH Binance Coin price is moving in consolidation mode, however demonstrating signs of further downside to come.  BNB/USDT price action is moving within a bear...Read more:  https://t.co/zgKgbR2xn9",en,[],['https://webnow.company/news/technical-analysis-and-market-entry-bnbusdt-subject-to-another-wave-of-selling-due-to-bearish-flag-formation'],[],1,0,0,"['bnb', 'btc', 'eth']",[],https://twitter.com/webnowcompany/status/1212158608638664711,False,,0,,,,,,,,[],,,,
1212158482490806273,1212158482490806273,2020-01-01 02:47:57 Turkey Standard Time,2020-01-01,02:47:57,+0300,1024959511071797248,cryptosusd,cryptosUSD,,🔄 Prices update in $USD (1 hour):  $BTC   - 7166.2 $    (-0.12 %) $ETH   - 128.76 $    (+0.21 %) $XRP   - 0.19 $      (+0.85 %) $BCH   - 204.2 $     (+0.25 %) $LTC   - 41.05 $     (-0.51 %)  #USD #Dollar #BTC #ETH #XRP #BCH #LTC #Trading #Bitcoin #Ethereum,en,[],[],[],0,0,1,"['usd', 'dollar', 'btc', 'eth', 'xrp', 'bch', 'ltc', 'trading', 'bitcoin', 'ethereum']","['usd', 'btc', 'eth', 'xrp', 'bch', 'ltc']",https://twitter.com/cryptosUSD/status/1212158482490806273,False,,0,,,,,,,,[],,,,
